datetime,open,high,low,close,volume
2024-04-24 01:00:00,5079.05,5079.15,5075.25,5077.65,539
2024-04-24 02:00:00,5077.95,5083.05,5076.55,5079.55,703
2024-04-24 03:00:00,5079.35,5084.15,5077.25,5083.35,779
2024-04-24 04:00:00,5083.15,5085.35,5081.65,5085.25,742
2024-04-24 05:00:00,5085.15,5087.15,5084.15,5086.65,472
2024-04-24 06:00:00,5086.75,5090.75,5086.35,5088.95,653
2024-04-24 07:00:00,5088.65,5088.95,5087.25,5087.95,280
2024-04-24 08:00:00,5088.25,5092.15,5087.45,5090.75,479
2024-04-24 09:00:00,5090.55,5090.55,5083.05,5085.05,1144
2024-04-24 10:00:00,5084.85,5085.55,5079.25,5082.05,1815
2024-04-24 11:00:00,5081.75,5083.25,5077.05,5077.35,1393
2024-04-24 12:00:00,5077.55,5079.05,5070.35,5072.55,1159
2024-04-24 13:00:00,5072.35,5078.35,5072.35,5074.05,971
2024-04-24 14:00:00,5074.35,5084.05,5073.55,5083.05,1339
2024-04-24 15:00:00,5082.85,5088.55,5073.55,5075.05,1857
2024-04-24 16:00:00,5074.85,5088.15,5072.35,5077.15,3631
2024-04-24 17:00:00,5077.45,5087.35,5065.55,5067.85,4510
2024-04-24 18:00:00,5067.55,5069.55,5051.55,5052.85,3608
2024-04-24 19:00:00,5052.65,5059.45,5046.55,5058.65,3086
2024-04-24 20:00:00,5058.35,5080.75,5056.05,5079.75,2119
2024-04-24 21:00:00,5079.95,5080.45,5059.05,5059.55,3594
2024-04-24 22:00:00,5059.35,5077.05,5057.35,5070.05,3042
2024-04-24 23:00:00,5069.85,5072.95,5037.25,5044.45,3789
2024-04-25 01:00:00,5038.25,5042.45,5036.45,5039.05,907
2024-04-25 02:00:00,5039.55,5043.75,5037.55,5040.75,618
2024-04-25 03:00:00,5041.05,5047.45,5040.35,5046.85,947
2024-04-25 04:00:00,5046.75,5047.35,5040.45,5040.75,772
2024-04-25 05:00:00,5040.45,5043.45,5039.35,5040.65,676
2024-04-25 06:00:00,5040.75,5041.45,5039.35,5040.45,334
2024-04-25 07:00:00,5040.55,5041.65,5039.35,5040.45,232
2024-04-25 08:00:00,5040.35,5040.65,5033.25,5034.75,823
2024-04-25 09:00:00,5034.95,5042.35,5032.55,5041.75,1341
2024-04-25 10:00:00,5041.65,5043.25,5034.95,5038.45,2456
2024-04-25 11:00:00,5038.35,5047.45,5037.75,5044.95,1629
2024-04-25 12:00:00,5044.75,5048.25,5043.45,5045.75,1150
2024-04-25 13:00:00,5045.95,5047.25,5037.95,5038.75,1303
2024-04-25 14:00:00,5038.45,5042.85,5034.45,5042.25,1314
2024-04-25 15:00:00,5041.95,5045.65,5008.75,5010.45,4378
2024-04-25 16:00:00,5011.25,5013.25,4992.45,4995.75,5056
2024-04-25 17:00:00,4995.95,5011.95,4988.75,4999.05,5228
2024-04-25 18:00:00,4998.75,5019.25,4998.55,5017.75,3701
2024-04-25 19:00:00,5017.55,5035.75,5014.25,5033.05,3069
2024-04-25 20:00:00,5033.25,5053.75,5025.15,5050.55,3348
2024-04-25 21:00:00,5050.75,5052.85,5032.25,5040.05,3445
2024-04-25 22:00:00,5040.25,5058.25,5039.75,5050.75,3705
2024-04-25 23:00:00,5050.05,5099.65,5046.95,5099.65,4207
2024-04-26 01:00:00,5091.75,5092.35,5087.35,5091.35,1157
2024-04-26 02:00:00,5090.95,5091.65,5084.85,5086.95,865
2024-04-26 03:00:00,5087.45,5088.85,5084.35,5087.95,1236
2024-04-26 04:00:00,5088.05,5092.25,5085.65,5090.95,1150
2024-04-26 05:00:00,5090.85,5092.35,5087.15,5089.35,660
2024-04-26 06:00:00,5089.45,5094.65,5089.45,5092.25,867
2024-04-26 07:00:00,5092.05,5093.85,5090.25,5091.55,456
2024-04-26 08:00:00,5091.35,5095.75,5089.95,5094.95,772
2024-04-26 09:00:00,5095.15,5097.15,5093.05,5093.15,1140
2024-04-26 10:00:00,5093.05,5093.65,5086.65,5088.85,1987
2024-04-26 11:00:00,5089.15,5090.85,5083.85,5084.85,1398
2024-04-26 12:00:00,5084.95,5085.95,5079.85,5084.65,1094
2024-04-26 13:00:00,5084.85,5087.35,5081.15,5083.85,1047
2024-04-26 14:00:00,5084.15,5090.85,5084.15,5087.15,1214
2024-04-26 15:00:00,5086.75,5107.35,5078.85,5086.85,5014
2024-04-26 16:00:00,5087.15,5097.75,5072.25,5093.75,5542
2024-04-26 17:00:00,5094.55,5105.85,5092.05,5103.65,4289
2024-04-26 18:00:00,5103.85,5111.35,5092.85,5101.95,2991
